title_spotify,artist_spotify,id_spotify,match_score,image
Freunde fürs Leben,['Willy Hagara'],5QIMvKsuj8yrCywMoYPE6S,0.9999999403953552,https://i.scdn.co/image/ab67616d0000b2734f6bb47dd19d906e177810d9
Freunde fürs Leben,['Lou Van Burg'],0UAYWMdquCGlayGpQSncTX,1.0,https://i.scdn.co/image/ab67616d0000b273252dab2946d832adc6541d3c
Der alte Lumpensammler,['Das Eichner Duo'],0wjualMjNOFdFJOWaMzYRr,0.9569289088249207,https://i.scdn.co/image/ab67616d0000b273ce2c3931fae3d21ad6a1bf1d
Einen Ring Mit Zwei Blutroten Steinen,['Caterina Valente'],5e5Npa8hMN0OaBqUw2U07Q,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b27385d2e8043e149ba027b97c77
Bum-Ladda-Bum-Bum,['Laurie London'],7Bp1eIkF5E6bQXiL2X5PQ6,1.0,https://i.scdn.co/image/ab67616d0000b27393d07f011c49b10a80a67f22
Ramona,['The Blue Diamonds'],35Uzwsuco6VG2OB1M6wRyy,0.9924103617668152,https://i.scdn.co/image/ab67616d0000b27314b1e9e7c246a3f0595e55c8
Wheels,"['Billy Vaughn', 'His Orchestra']",76dNo45EVwaehlTZDXqLDH,0.9914553761482239,https://i.scdn.co/image/ab67616d0000b2736e9dd9be8ca56d180d8a4b77
Babysitter Boogie,['Ralph Bendix'],5zwMJjAyh3T2i3WibV3yBq,0.9350734353065491,https://i.scdn.co/image/ab67616d0000b273dfe5dccb8ce09fb6ef03d13c
Baby Sittin' Boogie,['Buzz Clifford'],2Qnaf7ywzJLtg5pe58oB97,0.8749020099639893,https://i.scdn.co/image/ab67616d0000b273dbc2b925e040fc3a0617e3a4
"Hüh-a-Hoh Vier Schimmel, ein Wagen",['Trio Kolenka'],42QaV7vyKjx1XBI8PbSc0f,0.9875960350036621,https://i.scdn.co/image/ab67616d0000b273912427b650befed2b14541cd
Wheels,['The String-A-Longs'],5dbScGWFlu1KMXKpmF2QDB,0.9570049047470093,https://i.scdn.co/image/ab67616d0000b273d5aa6590d053d770e5a4718d
Save the Last Dance for Me,['The Drifters'],391TUcoPonqYykPkSZ5Z9U,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273d6c8814abab49d72189678a5
Mit 17 fängt das Leben erst an,['Ivo Robic'],7G7wnFxqX23aIjhrUy2RLs,1.0,https://i.scdn.co/image/ab67616d0000b273651512b98567c2118351ce00
Der Mann im Mond - Original Version,['Gus Backus'],5tU53mqNnXFyLmf4DHh30o,0.9101823568344116,https://i.scdn.co/image/ab67616d0000b273b8f4f63cc79bffcb6ef603c9
Weiße Rosen aus Athen,['Nana Mouskouri'],1dhjer579Kbkv1WAb8kZP5,0.9999998807907104,https://i.scdn.co/image/ab67616d0000b273a7695d32c1b35fc41443d946
"Hello, Mary-Lou",['Silvio Francesco'],3GAOYldj89fAoxpsnqqjtk,0.8168946504592896,https://i.scdn.co/image/ab67616d0000b27391ca8f0a70e8a1edf03c15d4
"Hello, Mary Lou",['Die Ricky Boys'],1AkyXcAki12s2CgqC17uPs,0.9385772347450256,https://i.scdn.co/image/ab67616d0000b273b56ebf9989fca0e6cf31a328
"Hello, Mary Lou",['Jan & Kjeld'],5r7wq1GM8AjvRirPHDesVy,1.0,https://i.scdn.co/image/ab67616d0000b273543e1f155aabc655957da9a3
Ein Schiff Wird Kommen (Hafen von Piräus),['Caterina Valente'],2p15V7Mdm6gQFqOqs5thxc,1.0,https://i.scdn.co/image/ab67616d0000b27385d2e8043e149ba027b97c77
Ein Schiff wird kommen,['Melina Mercouri'],1lHCjwpdfi10DfDUH6eqaJ,1.0,https://i.scdn.co/image/ab67616d0000b273bce8edabeaf5b30435a1df33
Ein Schiff wird kommen,['Lale Andersen'],4jllSZTfLEJDqvwYv6Crrk,1.0,https://i.scdn.co/image/ab67616d0000b273e4a12c861000ffc27fc44aa0
La Paloma - Single Version,['Freddy Quinn'],0bMrsyNqKnSWVNj0053RLg,0.9221751689910889,https://i.scdn.co/image/ab67616d0000b273cb573fc3dfdd3c7605f9d7af
