artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Tony Marshall,... und in der Heimat,2,69,10,1973,1973,1
George McCrae,Rock Your Baby,281,1,1,1974,1974,21
The Rubettes,Sugar Baby Love,268,2,1,1974,1974,20
Terry Jacks,Seasons In The Sun,236,3,1,1974,1974,18
Abba,Waterloo,205,4,1,1974,1974,16
Abba,Honey Honey,202,5,2,1974,1974,18
Vicky Leandros,Theo wir fahr'n nach Lodz,190,6,1,1974,1974,18
Sweet,Teenage Rampage,182,7,1,1974,1974,14
Carl Douglas,Kung Fu Fighting,156,8,1,1974,1974,10
Dan The Banjoman,Dan The Banjoman,146,9,1,1973,1974,17
Lobo,I'd Love You To Want Me,128,10,1,1973,1974,8
Michael Holm,Tränen lügen nicht,124,11,2,1974,1974,10
Nazareth,This Flight Tonight,116,12,1,1973,1974,13
Suzi Quatro,Devil Gate Drive,112,13,2,1974,1974,11
Sweet,The Sixteens,99,14,4,1974,1974,14
Albert Hammond,I'm A Train,91,15,2,1974,1974,8
Les Humphries Singers,Kansas City,90,16,2,1974,1974,11
Chris Roberts,Du kannst nicht immer 17 sein,86,17,3,1974,1974,12
Suzi Quatro,Daytona Demon,83,18,2,1973,1974,8
Ike & Tina Turner,Nutbush City Limits,81,19,2,1973,1974,10
Nick Mackenzie,Juanita,69,20,4,1974,1974,14
The Hollies,The Air That I Breathe,68,21,4,1974,1974,12
Mireille Mathieu,La Paloma ade,68,22,1,1973,1974,8
M.F.S.B. feat. The Three Degrees,TSOP (The Sound Of Philadelphia),63,23,5,1974,1974,13
George McCrae,I Can't Leave You Alone,62,24,3,1974,1974,7
Santabarbara,Charly,60,25,5,1973,1974,12
Paper Lace,The Night Chicago Died,57,26,3,1974,1974,11
The Rubettes,Tonight,57,27,4,1974,1974,10
The Cats,Be My Day,46,28,4,1974,1974,12
Nina & Mike,Fahrende Musikanten,46,29,5,1973,1974,9
Bruce Low,Das Kartenspiel,44,30,6,1974,1974,11
Sweet,Turn It Down,44,31,4,1974,1974,6
Alvin Stardust,My Coo Ca Choo,43,32,3,1974,1974,9
Ringo Starr,Photograph,35,33,5,1973,1974,6
Mud,Tiger Feet,34,34,6,1974,1974,7
Rex Gildo,"Marie, der letzte Tanz ist nur für dich",32,35,6,1974,1974,7
Walter Scheel & Düsseldorfer Männergesangsverein,Hoch auf dem gelben Wagen,32,36,5,1974,1974,6
Suzi Quatro,The Wild One,31,37,5,1974,1974,6
Gunter Gabriel,Hey Boß ich brauch' mehr Geld,28,38,6,1974,1974,7
The Glitter Band,Angel Face,26,39,6,1974,1974,7
Eric Clapton,I Shot The Sheriff,25,40,4,1974,1974,6
Golden Earring,Radar Love,24,41,5,1973,1974,5
Donny & Marie Osmond,I'm Leaving It (All) Up To You,23,42,4,1974,1974,6
Bernd Clüver,"Der kleine Prinz (Ein Engel, der Sehnsucht heißt)",22,43,4,1973,1974,4
Demis Roussos,Schönes Mädchen aus Arcadia,20,44,6,1973,1974,5
Slade,Merry Xmas Everybody,20,45,4,1973,1974,4
Gunter & Yvonne Gabriel,"Hey, Yvonne (Warum weint die Mammi)",18,46,7,1974,1974,5
Alvin Stardust,Jealous Mind,15,47,5,1974,1974,3
Slade,The Bangin' Man,14,48,7,1974,1974,4
Bata Illic,Schwarze Madonna,12,49,6,1973,1974,3
Heino,La Montanara (Das Lied der Berge),12,50,3,1973,1974,1
Bernd Clüver,Das Tor zum Garten der Träume,11,51,7,1974,1974,3
Mud,Rocket,10,52,8,1974,1974,3
The Hues Corporation,Rock The Boat,10,53,7,1974,1974,3
Paul McCartney & Wings,Jet,10,54,6,1974,1974,2
Cozy Powell,Dance With The Devil,10,55,4,1974,1974,2
Leo Sayer,The Show Must Go On,9,56,7,1974,1974,3
Mud,The Cat Crept In,9,57,5,1974,1974,2
Oliver Onions,Dune Buggy,7,58,8,1974,1974,2
Albert Hammond,Everything I Want To Do,7,59,7,1974,1974,2
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,7,60,5,1974,1974,1
Gary Glitter,I Love You Love Me Love,6,61,8,1973,1974,2
Bernd Clüver,Bevor du einschläfst (Tausend kleine Sterne),6,62,6,1974,1974,1
Suzi Quatro,Too Big,6,63,6,1974,1974,1
Peter Alexander,Irgendwo brennt für jeden ein Licht,5,64,9,1973,1974,2
Vicky Leandros,Du läßt mir meine Welt,5,65,9,1974,1974,2
Slade,Far Far Away,4,66,8,1974,1974,1
Insterburg & Co.,Ich liebte ein Mädchen,4,67,8,1974,1974,1
Howard Carpendale,Du fängst den Wind niemals ein,2,68,10,1974,1974,1
Gitte,Ich hab' die Liebe verspielt in Monte Carlo,2,69,10,1974,1974,1
Grand Funk Railroad,The Loco-Motion,2,70,10,1974,1974,1
Sweet,Ballroom Blitz,2,71,10,1973,1974,1
George Baker Selection,Paloma Blanca,336,1,1,1975,1975,23
Sweet,Fox On The Run,255,2,1,1975,1975,19
Udo Jürgens,Griechischer Wein,236,3,1,1974,1975,20
Abba,S.O.S.,215,4,1,1975,1975,17
Penny Mclean,Lady Bump,180,5,1,1975,1975,13
Fox,Only You Can,170,6,2,1975,1975,19
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,168,7,1,1974,1975,14
Shirley & Company,"Shame, Shame, Shame",159,8,1,1975,1975,14
Billy Swan,I Can Help,157,9,1,1975,1975,15
Alain Barriere & Noelle Cordier,Tu T'en Vas,151,10,2,1975,1975,18
Michael Holm,Tränen lügen nicht,134,11,1,1974,1975,11
Neil Diamond,Longfellow Serenade,121,12,2,1974,1975,12
Sweet,Action,116,13,2,1975,1975,11
Paul De Senneville & Olivier Toussaint & Solotrompete Jean-Claude Borelly,Dolannes Melodie,106,14,2,1975,1975,9
Howard Carpendale,Deine Spuren im Sand,103,15,3,1975,1975,14
5000 Volts,I'm On Fire,93,16,1,1975,1975,9
Van McCoy & The Soul City Symphony,The Hustle,89,17,3,1975,1975,14
Mud,Oh Boy,88,18,2,1975,1975,11
The Rubettes,I Can Do It,86,19,3,1975,1975,16
Carl Douglas,Kung Fu Fighting,85,20,2,1974,1975,9
I Santo California,Tornero,84,21,2,1975,1975,10
Jürgen Marcus,Ein Lied zieht hinaus in die Welt,76,22,3,1975,1975,12
Rod Stewart,Sailing,66,23,4,1975,1975,10
Katja Ebstein,Es war einmal ein Jäger,64,24,4,1974,1975,12
The Rubettes,Juke Box Jive,56,25,4,1974,1975,12
Hank The Knife & The Jets,Guitar King,56,26,4,1975,1975,11
Denny Christian,Rosamunde,51,27,3,1975,1975,7
Frank Zander,Ich trink' auf dein Wohl Marie,47,28,4,1975,1975,10
Gloria Gaynor,Reach Out I'll Be There,46,29,5,1975,1975,11
Telly Savalas,If,44,30,4,1975,1975,8
Carl Douglas,Dance The Kung Fu,41,31,5,1974,1975,8
Demis Roussos,Schön wie Mona Lisa,39,32,6,1975,1975,11
Juliane Werding,Wenn du denkst du denkst dann denkst du nur du denkst,39,33,4,1975,1975,6
Hamilton Bohannon,Disco Stomp,38,34,3,1975,1975,7
George Baker Selection,Morning Sky,34,35,5,1975,1975,6
George McCrae,I Can't Leave You Alone,32,36,3,1974,1975,5
Michael Holm,"Wart' auf mich (Du, wenn ich dich verlier')",25,37,4,1975,1975,6
Abba,"I Do, I Do, I Do, I Do, I Do",24,38,6,1975,1975,5
Gunter & Yvonne Gabriel,"Hey, Yvonne (Warum weint die Mammi)",16,39,5,1974,1975,4
Nina & Mike,Paloma Blanca,16,40,6,1975,1975,4
Fox,Imagine Me Imagine You,15,41,7,1975,1975,4
Barry White,"You're The First, The Last, My Everything",14,42,9,1975,1975,6
Heino,Die schwarze Barbara,14,43,5,1975,1975,3
George McCrae,Rock Your Baby,13,44,4,1974,1975,2
10cc,I'm Not In Love,12,45,8,1975,1975,4
The Rubettes,Foe-Dee-Oh-Dee,12,46,6,1975,1975,3
Sweet,Turn It Down,11,47,6,1974,1975,3
Albert Hammond,Down By The River (Newly Recorded Version),11,48,8,1975,1975,3
Mireille Mathieu,Der Zar und das Mädchen (Besser frei wie ein Vogel zu Leben),9,49,8,1975,1975,3
Status Quo,Down Down,9,50,7,1975,1975,2
Harpo,Moviestar,8,51,7,1975,1975,2
Marianne Rosenberg,Er gehört zu mir,8,52,7,1975,1975,2
Mud,Moonshine Sally,6,53,8,1975,1975,2
Rex Gildo,"Marie, der letzte Tanz ist nur für dich",6,54,9,1974,1975,2
Ralph Mctell,Streets Of London,6,55,8,1975,1975,2
Hello,New York Groove,5,56,9,1975,1975,2
Kraftwerk,Autobahn,5,57,9,1975,1975,2
Teach-In,Ding-A-Dong,5,58,9,1975,1975,2
John Kincade,When,4,59,10,1974,1975,2
Adam & Eve,Du gehst fort,4,60,10,1975,1975,2
Typically Tropical,Barbados,4,61,8,1975,1975,1
Smokie,If You Think You Know How To Love Me,4,62,8,1975,1975,1
Howard Carpendale,Du fängst den Wind niemals ein,4,63,8,1974,1975,1
Albert Hammond,Everything I Want To Do,4,64,8,1974,1975,1
Hank The Knife & The Jets,"Stan, The Gunman",3,65,9,1975,1975,1
Rex Gildo,Der letzte Sirtaki,3,66,9,1975,1975,1
Bachman-Turner Overdrive,Hey You,3,67,9,1975,1975,1
Lars,Es war einmal eine Gitarre,3,68,9,1975,1975,1
Leonard Cohen,Lover Lover Lover,3,69,9,1974,1975,1
Smokie,Don't Play Your Rock 'n' Roll To Me,2,70,10,1975,1975,1
Peter Maffay,Josie,2,71,10,1975,1975,1
Van McCoy & The Soul City Symphony,Disco Baby,2,72,10,1975,1975,1
Bay City Rollers,Bye Bye Baby,2,73,10,1975,1975,1
The Carpenters,Please Mr. Postman,2,74,10,1975,1975,1
Boney M.,Daddy Cool,289,1,1,1976,1976,19
Abba,Fernando,259,2,1,1976,1976,22
Pussycat,Mississippi,257,3,1,1976,1976,21
Frank Farian,Rocky,208,4,1,1976,1976,16
Bellamy Brothers,Let Your Love Flow,195,5,1,1976,1976,17
Jürgen Drews,Ein Bett im Kornfeld,189,6,1,1976,1976,16
Peter Alexander,Die kleine Kneipe,172,7,2,1976,1976,21
Abba,Dancing Queen,164,8,1,1976,1976,14
Johnny Wakelin,In Zaire,158,9,2,1976,1976,15
Harpo,Moviestar,152,10,1,1975,1976,15
David Dundas,Jeans On,147,11,1,1976,1976,12
Sailor,"Girls, Girls, Girls",141,12,2,1976,1976,17
Abba,Mamma Mia,124,13,1,1975,1976,13
Brotherhood Of Man,Save Your Kisses For Me,105,14,2,1976,1976,13
Paul De Senneville & Olivier Toussaint & Solotrompete Jean-Claude Borelly,Dolannes Melodie,105,15,1,1975,1976,8
Ricky King,Verde,101,16,3,1976,1976,14
Harpo,Horoscope,101,17,3,1976,1976,14
Nico Haak,Schmidtchen Schleicher,97,18,4,1976,1976,20
Sailor,A Glass Of Champagne,97,19,3,1976,1976,14
5000 Volts,I'm On Fire,90,20,2,1975,1976,8
Penny Mclean,Lady Bump,86,21,1,1975,1976,9
George Baker Selection,Morning Sky,85,22,2,1975,1976,11
Penny Mclean,1-2-3-4... Fire,73,23,3,1976,1976,11
Silver Convention,"Fly, Robin, Fly",71,24,3,1975,1976,9
Pussycat,Georgie,67,25,6,1976,1976,16
Abba,"Money, Money, Money",61,26,1,1976,1976,5
Roger Whittaker,River Lady (A Little Goodbye),58,27,4,1976,1976,12
Elton John & Kiki Dee,Don't Go Breaking My Heart,52,28,5,1976,1976,9
Sweet,The Lies In Your Eyes,41,29,5,1976,1976,8
Udo Jürgens,Aber bitte mit Sahne,40,30,5,1976,1976,10
Tina Rainford,Silver Bird,38,31,5,1976,1976,9
Rod Stewart,Sailing,38,32,4,1975,1976,7
Peter Maffay,Und es war Sommer,37,33,5,1976,1976,7
Neil Diamond,Beautiful Noise,33,34,6,1976,1976,8
Donna Summer,Love To Love You Baby,32,35,6,1976,1976,8
Tina Charles,I Love To Love (But My Baby Loves To Dance),32,36,6,1976,1976,7
Hello,New York Groove,25,37,7,1975,1976,8
Juliane Werding,Wenn du denkst du denkst dann denkst du nur du denkst,23,38,4,1975,1976,4
Marianne Rosenberg,Lieder der Nacht,21,39,6,1976,1976,7
Queen,Bohemian Rhapsody,16,40,7,1976,1976,4
Pussycat,Smile,15,41,9,1976,1976,6
Gunter Gabriel,Komm unter meine Decke,15,42,7,1975,1976,5
Rick Dees and his Cast Of Idiots,Disco Duck,12,43,7,1976,1976,3
George Baker Selection,Wild Bird,11,44,7,1976,1976,3
Waterloo & Robinson,My Little World,11,45,7,1976,1976,3
Slik,Forever And Ever,10,46,6,1976,1976,2
Two Man Sound,Charly Brown,9,47,7,1976,1976,3
I Santo California,Tornero,9,48,8,1975,1976,3
Peter Maffay,Josie,7,49,9,1975,1976,3
Hot Chocolate,You Sexy Thing,7,50,8,1976,1976,2
Harpo,Motorcycle Mama,6,51,9,1976,1976,2
Boney M.,Sunny,6,52,6,1976,1976,1
Chicago,If You Leave Me Now,5,53,9,1976,1976,2
Smokie,I'll Meet You At Midnight,5,54,9,1976,1976,2
Costa Cordalis,Anita,5,55,7,1976,1976,1
Tina Charles,Dance Little Lady Dance,4,56,8,1976,1976,1
Bay City Rollers,I Only Wanna Be With You,3,57,9,1976,1976,1
Micky,"Bye, Bye Fräulein",3,58,9,1976,1976,1
Andrea True Connection,"More, More, More - Part I",3,59,9,1976,1976,1
Manhattens,Kiss And Say Goodbye,2,60,10,1976,1976,1
John Miles,Music,2,61,10,1976,1976,1
Bay City Rollers,Saturday Night,2,62,10,1976,1976,1
Vicky Leandros,Ich liebe das Leben,2,63,10,1976,1976,1
Michael Holm,"Wart' auf mich (Du, wenn ich dich verlier')",2,64,10,1975,1976,1
Gilla,Tu es!,2,65,10,1975,1976,1
Smokie,Don't Play Your Rock 'n' Roll To Me,2,66,10,1975,1976,1
Smokie,Living Next Door To Alice,239,1,1,1976,1977,18
Baccara,Yes Sir I Can Boogie,221,2,1,1977,1977,17
Boney M.,Ma Baker,201,3,1,1977,1977,15
Oliver Onions,Orzowei,192,4,1,1977,1977,16
Boney M.,Sunny,184,5,1,1976,1977,14
Smokie,Lay Back In The Arms Of Someone,172,6,1,1977,1977,14
Space,Magic Fly,167,7,1,1977,1977,17
Abba,"Knowing Me, Knowing You",166,8,1,1977,1977,15
Baccara,Sorry I'm A Lady,166,9,1,1977,1977,12
Jeanette Dimech,Porque Te Vas,150,10,1,1977,1977,16
Frank Zander,Oh Susi (Der zensierte Song),137,11,2,1977,1977,17
Santa Esmeralda feat. Leroy Gomez,Don't Let Me Be Misunderstood & Esmeralda Suite,131,12,1,1977,1977,10
Abba,"Money, Money, Money",129,13,1,1976,1977,10
Amanda Lear,Queen Of China-Town,127,14,2,1977,1977,15
Boney M.,Belfast,119,15,1,1977,1977,10
Costa Cordalis,Anita,108,16,3,1976,1977,14
Smokie,It's Your Life,92,17,3,1977,1977,13
Julie Covington,Don't Cry For Me Argentina (Original Soundtrack 'Evita'),89,18,4,1977,1977,18
Smokie,Needles And Pins,86,19,2,1977,1977,9
Chicago,If You Leave Me Now,85,20,3,1976,1977,14
David Dundas,Jeans On,73,21,2,1976,1977,8
Bonnie Tyler,Lost In France,72,22,3,1977,1977,15
Donna Summer,I Feel Love,72,23,3,1977,1977,9
John Paul Young,Standing In The Rain,69,24,4,1977,1977,15
Belle Epoque,Black Is Black,69,25,2,1977,1977,6
Michael Holm,Mußt du jetzt gerade gehen Lucille,62,26,4,1977,1977,13
Showaddywaddy,Under The Moon Of Love,60,27,4,1976,1977,12
Howard Carpendale,Ti Amo,54,28,2,1977,1977,4
Bay City Rollers,It's A Game,51,29,4,1977,1977,11
Lynsey de Paul & Mike Moran,Rock Bottom,51,30,4,1977,1977,8
Marianne Rosenberg,Marleen,48,31,5,1976,1977,10
Raffaela Carra,A Far L'amore Comincia Tu (Liebelei),45,32,4,1977,1977,9
Tony Holiday,Tanze Samba mit mir,43,33,4,1977,1977,7
Willem,Tarzan ist wieder da,43,34,5,1977,1977,7
David Dundas,Another Funny Honeymoon,37,35,6,1977,1977,9
The Eagles,Hotel California,35,36,6,1977,1977,8
Umberto Tozzi,Ti Amo,27,37,4,1977,1977,5
Hot Chocolate,So You Win Again,25,38,6,1977,1977,7
Tina Rainford,Silver Bird,25,39,5,1976,1977,6
Thelma Houston,Don't Leave Me This Way,23,40,5,1977,1977,6
Boney M.,Daddy Cool,23,41,4,1976,1977,4
Jürgen Drews,Barfuß durch den Sommer,21,42,6,1977,1977,5
Ricky King,Verde,21,43,3,1976,1977,4
ELO (The Electric Light Orchestra),Livin' Thing,20,44,5,1977,1977,6
Uriah Heep,Lady In Black,17,45,6,1971,1977,4
Laurent Voulzy,Rockollection (Part I),16,46,8,1977,1977,5
Ricky King,Le Reve,13,47,7,1976,1977,3
Heart,Barracuda,11,48,8,1977,1977,4
Abba,The Name Of The Game,11,49,7,1977,1977,3
David Bowie,Sound And Vision,11,50,6,1977,1977,3
Howard Carpendale,Tür an Tür mit Alice,6,51,8,1977,1977,2
Showaddywaddy,When,5,52,9,1977,1977,2
Johnny Wakelin,In Zaire,5,53,9,1976,1977,2
Vicky Leandros,Auf dem Mond da blühen keine Rosen,5,54,9,1977,1977,2
Stevie Wonder,Sir Duke,4,55,10,1977,1977,2
Johnny Wakelin,Africa Man,4,56,10,1976,1977,2
Neil Diamond,Beautiful Noise,4,57,8,1976,1977,1
Rick Dees and his Cast Of Idiots,Disco Duck,3,58,9,1976,1977,1
Sheila & B. Devotion,Love Me Baby,3,59,9,1977,1977,1
Sweet,Fever Of Love,3,60,9,1977,1977,1
Leo Sayer,You Make Me Feel Like Dancing,3,61,9,1976,1977,1
Danny Mirror,I Remember Elvis Presley,2,62,10,1977,1977,1
Kenny Rogers,Lucille,2,63,10,1977,1977,1
"Peter, Sue & Marc",Cindy,2,64,10,1977,1977,1
Boney M.,Rivers Of Babylon,378,1,1,1978,1978,23
Vader Abraham und die Schlümpfe,Das Lied der Schlümpfe,272,2,1,1978,1978,26
Wings,Mull Of Kintyre,267,3,1,1977,1978,18
John Travolta & Olivia Newton-John,You're The One That I Want,260,4,1,1978,1978,19
The Bee Gees,Night Fever,159,5,2,1978,1978,16
Bonnie Tyler,It's A Heartache,123,6,2,1978,1978,13
Luv',You're The Greatest Lover,123,7,1,1978,1978,10
Clout,Substitute,121,8,1,1978,1978,11
La Bionda,"One For You, One For Me",120,9,2,1978,1978,13
The Bee Gees,Stayin' Alive,114,10,2,1978,1978,13
Boney M.,Rasputin,113,11,1,1978,1978,10
Smokie,Mexican Girl,111,12,1,1978,1978,11
Gerry Rafferty,Baker Street,101,13,3,1978,1978,15
John Paul Young,Love Is In The Air,101,14,3,1977,1978,13
Marshall Hain,Dancing In The City,98,15,1,1978,1978,9
Howard Carpendale,Ti Amo,98,16,2,1977,1978,9
Amanda Lear,Follow Me,85,17,3,1978,1978,15
Santa Esmeralda feat. Leroy Gomez,Don't Let Me Be Misunderstood & Esmeralda Suite,85,18,1,1977,1978,7
Smokie,Oh Carol,82,19,3,1978,1978,13
Smokie,For A Few Dollars More,82,20,2,1978,1978,8
Udo Jürgens und die Fußball-Nationalmannschaft,Buenos Dias Argentina,81,21,3,1978,1978,13
Abba,Take A Chance On Me,72,22,3,1978,1978,12
Andrea Jürgens,Und dabei liebe ich euch beide,71,23,4,1978,1978,12
Suzi Quatro,If You Can't Give Me Love,66,24,5,1978,1978,12
Belle Epoque,Black Is Black,58,25,3,1977,1978,6
Supermax,Lovemachine (Part 1),55,26,4,1978,1978,12
Exile,Kiss You All Over,55,27,3,1978,1978,7
Bino,Mama Leone,54,28,4,1978,1978,9
Gebrüder Blattschuss,Kreuzberger Nächte,48,29,2,1978,1978,5
Gitti & Erica,Heidi,43,30,4,1978,1978,10
Uriah Heep,Lady In Black,42,31,5,1971,1978,7
Village People,Y.M.C.A.,36,32,1,1978,1978,2
Dee D. Jackson,Automatic Lover,35,33,5,1978,1978,8
Vader Abraham und die Schlümpfe,"Was wird sein, fragt der Schlumpf",32,34,4,1978,1978,7
Bernie Paul,Lucky,31,35,6,1978,1978,8
Andrea Jürgens,Ich zeige dir mein Paradies,29,36,5,1978,1978,7
Plastic Bertrand,Ca Plane Pour Moi,27,37,6,1978,1978,7
John Travolta & Olivia Newton-John,Summer Nights,27,38,4,1978,1978,6
Boney M.,Mary's Boy Child / Oh My Lord,27,39,2,1978,1978,2
Luisa Fernandez,Lay Love On You,26,40,7,1978,1978,7
Abba,Eagle,25,41,6,1978,1978,6
Lesley Hamilton,No Hollywood Movie,22,42,8,1978,1978,7
Umberto Tozzi,Ti Amo,22,43,4,1977,1978,4
Eruption,I Can't Stand The Rain,21,44,7,1978,1978,7
Baccara,Darling,20,45,6,1978,1978,4
Chris Norman & Suzi Quatro,Stumblin' In,19,46,3,1978,1978,2
Genesis,Follow You Follow Me,17,47,8,1978,1978,5
Leif Garrett,Surfin' USA,16,48,6,1977,1978,4
Dieter Hallervorden & Helga Feddersen,"Du, die Wanne ist voll",16,49,4,1978,1978,3
Status Quo,Rockin' All Over The World,15,50,7,1977,1978,4
Bruce Low,Die Legende von Babylon,14,51,6,1978,1978,4
Sheila & B. Devotion,Singin' In The Rain (Part 1),14,52,6,1978,1978,4
Belle Epoque,Miss Broadway,14,53,8,1977,1978,4
Abba,Summer Night City,14,54,6,1978,1978,3
Bino,Mama Leone (German Version),13,55,5,1978,1978,3
Smokie,Needles And Pins,11,56,7,1977,1978,3
Baccara,The Devil Sent You To Lorado,11,57,6,1978,1978,2
Roland Kaiser,Sieben Fässer Wein,10,58,7,1977,1978,2
The Teens,Gimme Gimme Gimme Gimme Gimme Your Love (Heartache Number On,8,59,7,1978,1978,2
Amanda Lear,Queen Of China-Town,8,60,7,1977,1978,2
Rudi Carrell,Goethe war gut,5,61,9,1978,1978,2
Tony Holiday,Tanze Samba mit mir,5,62,7,1977,1978,1
Hot Chocolate,Put Your Love In Me,5,63,7,1977,1978,1
Boney M.,Belfast,4,64,10,1977,1978,2
El Pasador,"Amada Mia, Amore Mio",4,65,10,1978,1978,2
Henry Valentino mit Uschi,Im Wagen vor mir,4,66,8,1977,1978,1
Wishful Thinking,Hiroshima,4,67,8,1978,1978,1
Blondie,Denis,3,68,9,1978,1978,1
Richard Clayderman,Ballade Pour Adeline (Sonate für Piano und Orchester),3,69,9,1977,1978,1
Uriah Heep,Free Me,3,70,9,1977,1978,1
Sweet,Love Is Like Oxygen,2,71,10,1978,1978,1
Patrick Hernandez,Born To Be Alive,249,1,1,1979,1979,21
Peter Maffay,So bist du,238,2,1,1979,1979,23
Boney M.,Gotta Go Home / El Lute,238,3,1,1979,1979,19
Village People,Y.M.C.A.,220,4,1,1978,1979,15
Blondie,Heart Of Glass,213,5,1,1979,1979,16
M,Pop Muzik,202,6,1,1979,1979,15
Cliff Richard,We Don't Talk Anymore,196,7,1,1979,1979,15
Dschinghis Khan,Dschinghis Khan,147,8,1,1979,1979,13
Thom Pace,Maybe,144,9,1,1979,1979,9
Kiss,I Was Made For Lovin' You,137,10,2,1979,1979,16
Abba,Chiquitita,118,11,3,1979,1979,15
Art Garfunkel,Bright Eyes,110,12,3,1979,1979,16
Dschinghis Khan,Moskau,109,13,3,1979,1979,14
The Bee Gees,Tragedy,103,14,2,1979,1979,10
Racey,Some Girls,99,15,2,1979,1979,12
Nick Straker Band,A Walk In The Park,90,16,3,1979,1979,16
Buggles,Video Killed The Radio Stars,80,17,2,1979,1979,6
Abba,"Gimme, Gimme, Gimme (A Man After Midnight)",77,18,3,1979,1979,8
Luv',Trojan Horse,73,19,3,1978,1979,14
Anita Ward,Ring My Bell,72,20,3,1979,1979,9
Oliver Onions,Bulldozer,71,21,2,1978,1979,8
Chris Norman & Suzi Quatro,Stumblin' In,70,22,2,1978,1979,6
Boney M.,Mary's Boy Child / Oh My Lord,69,23,1,1978,1979,5
Gebrüder Blattschuss,Kreuzberger Nächte,68,24,3,1978,1979,10
Racey,Boy Oh Boy,68,25,3,1979,1979,9
Promises,Baby It's You,64,26,4,1979,1979,11
Clout,Save Me,64,27,4,1979,1979,10
Donna Summer,Hot Stuff,55,28,5,1979,1979,12
Boney M.,Hooray! Hooray! It's A Holi-Holiday,54,29,4,1979,1979,9
Manuel & Pony,Das Lied von Manuel,52,30,5,1979,1979,12
Chic,Le Freak,50,31,5,1979,1979,9
Village People,In The Navy,48,32,3,1979,1979,7
ELO (The Electric Light Orchestra),Don't Bring Me Down,46,33,5,1979,1979,9
Eruption,One Way Ticket,41,34,7,1979,1979,10
Frankie Miller,Darlin',39,35,5,1978,1979,7
Howard Carpendale,Nachts wenn alles schläft,38,36,4,1979,1979,6
Blondie,Sunday Girl,36,37,6,1979,1979,9
Dieter Hallervorden & Helga Feddersen,"Du, die Wanne ist voll",32,38,5,1978,1979,9
Baccara,The Devil Sent You To Lorado,31,39,4,1978,1979,5
Boomtown Rats,I Don't Like Mondays,28,40,6,1979,1979,7
Johnny Hill,Ruf' Teddybär Eins-Vier,23,41,8,1979,1979,6
Richard Clayderman,Ballade Pour Adeline (Sonate für Piano und Orchester),23,42,6,1977,1979,5
Dr. Hook,When You're In Love With A Beautiful Woman,19,43,8,1979,1979,7
Lou & The Hollywood Bananas,"Kingston, Kingston (French Version)",19,44,6,1979,1979,4
Exile,Kiss You All Over,16,45,8,1978,1979,6
Snoopy,No Time For A Tango,16,46,7,1978,1979,4
B.A. Robertson,Bang Bang,12,47,6,1979,1979,2
Luv',You're The Greatest Lover,11,48,6,1978,1979,3
Smokie,Babe It's Up To You,10,49,8,1979,1979,3
Peter Alexander,Und manchmal weinst du sicher ein paar Tränen,9,50,9,1979,1979,4
Gloria Gaynor,I Will Survive,9,51,7,1979,1979,3
The Bee Gees,Too Much Heaven,8,52,10,1979,1979,4
Fleetwood Mac,Tusk,7,53,9,1979,1979,3
Abba,Does Your Mother Know,6,54,10,1979,1979,3
Luv',Casanova,6,55,6,1979,1979,1
Saragossa Band,Rasta Man,5,56,9,1979,1979,2
Rod Stewart,Da Ya Think I'm Sexy?,5,57,9,1978,1979,2
Suzi Quatro,She's In Love With You,4,58,8,1979,1979,1
Umberto Tozzi,Gloria,4,59,8,1979,1979,1
Donna Summer,Bad Girls,3,60,9,1979,1979,1
Smokie,Do To Me,2,61,10,1979,1979,1
Kevin Keegan,Head Over Heels In Love,2,62,10,1979,1979,1
Leif Garrett,I Was Made For Dancin',2,63,10,1979,1979,1
Goombay Dance Band,Sun Of Jamaica,324,1,1,1979,1980,27
Pink Floyd,Another Brick In The Wall (Part 2),235,2,1,1980,1980,18
Lipps Inc.,Funky Town,232,3,1,1980,1980,16
Oliver Onions,Santa Maria,209,4,1,1980,1980,16
Mike Krüger,Der Nippel,188,5,1,1980,1980,16
Earth & Fire,Weekend,186,6,1,1980,1980,18
Roland Kaiser,Santa Maria,184,7,1,1980,1980,14
Garland Jeffreys,Matador,168,8,2,1980,1980,16
Olivia Newton-John & ELO (The Electric Light Orchestra),Xanadu,164,9,1,1980,1980,16
Peter Kent,It's A Real Good Feeling,154,10,1,1980,1980,15
Ottawan,D.I.S.C.O.,142,11,2,1980,1980,15
Marti Webb,Take That Look Off Your Face,134,12,3,1980,1980,19
The Sugarhill Gang,Rapper's Delight,128,13,3,1980,1980,15
Diana Ross,Upside Down,109,14,3,1980,1980,14
Barbra Streisand,Woman In Love,98,15,1,1980,1980,7
Thom Pace,Maybe,95,16,1,1979,1980,8
Hot Chocolate,No Doubt About It,88,17,3,1980,1980,10
Dr. Hook,Sexy Eyes,79,18,2,1980,1980,14
Frank Zappa,Bobby Brown,77,19,4,1980,1980,15
Gibson Brothers,Que Sera Mi Vida (If You Should Go),77,20,4,1980,1980,14
Styx,Boat On The River,70,21,5,1980,1980,16
Secret Service,Ten O'clock Postman,69,22,4,1980,1980,11
Johnny Logan,What's Another Year,62,23,2,1980,1980,9
